date,end_date,kind,title,title_es,host_district,location,city,time,notes
2026-01-11,2026-01-11,Assembly,Area Service Assembly,Asamblea de Servicio de Area,D2,,,08:00-15:00,
2026-02-08,2026-02-08,ASC,Area Service Committee (ASC 1),Comite de Servicio de Area (CSA 1),D24,,,08:00-15:00,
2026-03-08,2026-03-08,ASC,Area Service Committee (ASC 2),Comite de Servicio de Area (CSA 2),D7,,,08:00-15:00,
2026-04-12,2026-04-12,Assembly,Pre-Conference Assembly,Asamblea Pre-Conferencia,D17,,,08:00-15:00,
2026-05-17,2026-05-17,Assembly,Assembly - Delegate's Share-Back,Asamblea - Compartimiento del Delegado,D8,,,08:00-15:00,
2026-06-14,2026-06-14,ASC,Area Service Committee (ASC 1),Comite de Servicio de Area (CSA 1),D14,,,08:00-15:00,
2026-07-12,2026-07-12,Foro,FORO,FORO,D22,,,08:00-15:00,
2026-08-09,2026-08-09,ASC,Area Service Committee (ASC 2),Comite de Servicio de Area (CSA 2),D12,,,08:00-15:00,
2026-09-13,2026-09-13,Assembly,Area Service Assembly,Asamblea de Servicio de Area,D30 & D9,Mizell Center,Palm Springs,08:00-15:00,
2026-10-11,2026-10-11,ASC,Area Service Committee (ASC 1),Comite de Servicio de Area (CSA 1),D5,,,08:00-15:00,
2026-11-14,2026-11-14,Servathon,Panel 76 Servathon,Servathon del Panel 76,D25,Knights of Columbus,,10:00-14:00,
2026-12-13,2026-12-13,ASC,Area Service Committee (ASC 2),Comite de Servicio de Area (CSA 2),D10 & D15,,,08:00-15:00,
