committee,language,title,title_es,approved,url,drive_path,note
accessibilities,en,Special Needs Committee guidelines,Guías del Comité de Necesidades Especiales,2003,https://drive.google.com/file/d/1ObsLVqhg0gvdcEPp-uDZfL7ZHiIlPzMR/view,docs/Committee Guidelines/Guidelines-Special-Needs-MSCA-2003-09.pdf,Written when the committee was called Special Needs
archives,en,"Archives guidelines, Revision G","Guías de Archivos, Revisión G (inglés)",June 2024,https://drive.google.com/file/d/11HLCAK83iRTPXUps13-7SbxfHQUGtsiJ/view,docs/Committee Guidelines/Archives-Guidelines-Revision-G-(Revision-Eng. June 2024).pdf,
archives,es,"Archives guidelines, Revision G (Spanish)","Guías para los Archivos, Revisión G",June 2024,https://drive.google.com/file/d/1nDwvcpvjnq8WaR4CGgxWCjuJr4P9ekxi/view,docs/Committee Guidelines/Archives-Guidelines-Revision-G-(Revision-Span. June 2024).pdf,
cec,en,Cooperation with the Elder Community guidelines,Guías de Cooperación con la Comunidad de Mayores,2021,https://drive.google.com/file/d/133htjajE-ss6KtSLxXqjiFzGRgbyW9o4/view,docs/Committee Guidelines/CEC-Guidelines-Final-2021.pdf,
communications,en,Communications Committee guidelines,Guías del Comité de Comunicaciones (inglés),May 2023,https://drive.google.com/file/d/1btZH6DAqWChYbWWcCW8FDUH8ebfJHUm2/view,docs/Committee Guidelines/Communications-Committee-Guidelines_Final-May-2023-ASA_English.pdf,
communications,es,Communications Committee guidelines (Spanish),Guías del Comité de Comunicaciones,May 2023,https://drive.google.com/file/d/1VvdB1-5bEFPM0Nc-xwSn4FPS0JxlqF9z/view,docs/Committee Guidelines/Communications-Committee-Guidelines_Final-May-2023-ASA_Spanish.pdf,
convention,en,Convention Liaison guidelines,Guías de Enlace de Convenciones,January 2005,https://drive.google.com/file/d/13DtoCH7a5U4BorihYGmIYZ1bHIWdBEqA/view,docs/Committee Guidelines/Conventionliasionguidelines.pdf,
corrections,en,Corrections Committee guidelines,Guías del Comité de Correccionales (inglés),2007,https://drive.google.com/file/d/1-SNKwS7hBIrQE9HSlq04M8bBsT80sc-X/view,docs/Committee Guidelines/Guidelines-Corrections-Correspondence-English-2007.pdf,
corrections,es,Corrections Committee guidelines (Spanish),Guías del Comité de Instituciones Correccionales,2007,https://drive.google.com/file/d/1NeeegoBjr9689rbEKZ0Vf1d4NtGzwcOY/view,docs/Committee Guidelines/Guias-Instituciones-Correctionales-Spanish-2007.pdf,
corrections,en,Area 9 H&I committees and meetings,Comités de H&I del Área 9,,https://drive.google.com/file/d/1HAk6XxnVufed4392tjDonGoSMgdE16VL/view,docs/Committee Guidelines/Area 9 H&I Committees.pdf,"A list of the H&I committees, not guidelines"
cpc,en,Cooperation with the Professional Community guidelines,Guías de Cooperación con la Comunidad Profesional,May 2003,https://drive.google.com/file/d/1XeK6HwV1zGHftAtE37hB9o12Pp_Su5Iv/view,docs/Committee Guidelines/CPC-Guidelines.pdf,
dcmschool,en,DCM School guidelines,Guías de la Escuela de MCD,January 2024,https://drive.google.com/file/d/1PuA4ntPgVTWbiK_4LQUn-T26uACipAIV/view,docs/Committee Guidelines/DCM-School-Guidelines_Rev.20240114-1.pdf,
finance,en,Finance Committee guidelines (draft),Guías del Comité de Finanzas (borrador),March 2019,https://drive.google.com/file/d/1dawzHa_B4_35s8MYqReT64LptfTkorwq/view,docs/Committee Guidelines/Guidelines-Finance-Committee-English-Draft-2019.02.13.pdf,Marked draft in the file name
grapevine,en,Grapevine / La Viña guidelines,Guías de Grapevine / La Viña,January 2016,https://drive.google.com/file/d/1_mnKrvQrC0igjJ897zCNOPd5kbO3AtG5/view,docs/Committee Guidelines/Grapevine-LaVina-Final-Guidelines-in-English-January-2016.pdf,
lavina,en,Grapevine / La Viña guidelines,Guías de Grapevine / La Viña,January 2016,https://drive.google.com/file/d/1_mnKrvQrC0igjJ897zCNOPd5kbO3AtG5/view,docs/Committee Guidelines/Grapevine-LaVina-Final-Guidelines-in-English-January-2016.pdf,One document for both committees
gsrschool,en,GSR School guidelines,Guías de la Escuela de RSG (inglés),,https://drive.google.com/file/d/1aZy8qiQpq8WwQx--viWv3prpSJFdQaYY/view,docs/Committee Guidelines/Guidelines-GSR-School-English.pdf,
gsrschool,es,GSR School guidelines (Spanish),Guías para la Escuela de RSG,,https://drive.google.com/file/d/16R_ZPUviClMuwejBOns8aowgWelEv_yA/view,docs/Committee Guidelines/Guias-Para-la-Escuela-de-RSG-Spanish.pdf,
literature,en,Literature Committee guidelines,Guías del Comité de Literatura,,https://drive.google.com/file/d/1LEXcrnlb3oltso6vIedSnNhgICVdaH9i/view,docs/Committee Guidelines/Literature-Guidelines-APPROVED.pdf,
pi,en,Public Information guidelines,Guías de Información Pública,September 2004,https://drive.google.com/file/d/16DnDFBTXWaOWQP6nWPlo9Tg_4zg6m0bR/view,docs/Committee Guidelines/PI- Guidelines.pdf,
registration,en,Registration Committee guidelines,Guías del Comité de Registro,May 2004,https://drive.google.com/file/d/1oFbECb2qJBasgIErAlQBnEH7Y9ryYTBg/view,docs/Committee Guidelines/Registration-guidelines.pdf,
technology,en,Technology Committee guidelines,Guías del Comité de Tecnología (inglés),January 2022,https://drive.google.com/file/d/1q0-5Q8zwq6JeONMaLNFhg1CLgrWjJooH/view,docs/Committee Guidelines/Guidelines-Technology-Committee-English-2022.01.09.pdf,
technology,es,Technology Committee guidelines (Spanish),Guías del Comité de Tecnología,January 2022,https://drive.google.com/file/d/1ef88zLyS6c1VEK_vkZJXGD312L6pewca/view,docs/Committee Guidelines/Guidelines-Technology-Committee-Spanish-2022.01.09.pdf,
treatment,en,Treatment Facilities Committee guidelines,Guías del Comité de Centros de Tratamiento,September 2004,https://drive.google.com/file/d/1slaEx2mt3_o-NMz7KknSzNaWoDnf28Ut/view,docs/Committee Guidelines/Treatment committee guidelines.pdf,
treatment,en,Area 9 H&I committees and meetings,Comités de H&I del Área 9,,https://drive.google.com/file/d/1HAk6XxnVufed4392tjDonGoSMgdE16VL/view,docs/Committee Guidelines/Area 9 H&I Committees.pdf,"A list of the H&I committees, not guidelines"
ypaa,en,Young People in A.A. committee guidelines,Guías del Comité de Jóvenes en A.A.,January 2019,https://drive.google.com/file/d/1a6zf3attsQd19SbBI5zRFFknWj9QnZuD/view,docs/Committee Guidelines/Guidelines-MSCA-YPPA-ver1-English-2019.01.15.pdf,
