key,en,es
site.name,Mid-Southern California Area 09,Área 09 del Medio-Sur de California
site.of_aa,of Alcoholics Anonymous,de Alcohólicos Anónimos
site.address,"MSCA09, P.O. Box 51446, Irvine, CA 92619-1446","MSCA09, P.O. Box 51446, Irvine, CA 92619-1446"
site.tagline,Mid‑Southern California,Medio‑Sur de California
site.footer_blurb,"Area 09 is one of 93 General Service Conference areas in the U.S. and Canada. We serve A.A. groups across Orange County, Riverside County, San Bernardino County and part of Los Angeles County — in English and in Spanish.","El Área 09 es una de las 93 áreas de la Conferencia de Servicios Generales en EE.UU. y Canadá. Servimos a los grupos de A.A. de los condados de Orange, Riverside, San Bernardino y parte de Los Ángeles — en inglés y en español."
site.legal,"© Mid-Southern California Area 09 of Alcoholics Anonymous. A.A.®, Alcoholics Anonymous®, the Big Book®, Box 4-5-9®, Grapevine® and La Viña® are registered trademarks of A.A. World Services, Inc. and A.A. Grapevine, Inc. This site is not affiliated with, endorsed by or speaking for A.A. World Services, Inc.","© Área 09 del Medio-Sur de California de Alcohólicos Anónimos. A.A.®, Alcohólicos Anónimos®, el Libro Grande®, Box 4-5-9®, Grapevine® y La Viña® son marcas registradas de A.A. World Services, Inc. y A.A. Grapevine, Inc. Este sitio no está afiliado ni respaldado por A.A. World Services, Inc."
bar.text,Need a meeting right now?,¿Necesitas una reunión ahora?
bar.link,Find an A.A. meeting near you →,Encuentra una reunión de A.A. cerca de ti →
home.kicker,Mid-Southern California Area 09 of Alcoholics Anonymous,Área 09 del Medio-Sur de California de Alcohólicos Anónimos
home.title_a,Service is how we,El servicio es cómo
home.title_b,stay sober together,nos mantenemos sobrios juntos
home.lead,"District meetings, Area assemblies, committees and the people who serve them — for Orange, Riverside, San Bernardino and part of Los Angeles County. Everything here is one click away, in English and Spanish.","Reuniones de distrito, asambleas de área, comités y las personas que sirven — para Orange, Riverside, San Bernardino y parte del condado de Los Ángeles. Todo a un clic, en inglés y español."
home.cta1,Find your district,Encuentra tu distrito
home.cta2,See the service calendar,Ver el calendario de servicio
home.upnext,Up next,A continuación
home.open_cal,Open the calendar,Ver el calendario
home.next_title,Happening next,Lo que sigue
home.next_sub,The next service meetings across the Area. All times Pacific.,Las próximas reuniones de servicio del Área. Hora del Pacífico.
home.see_all,See the full service calendar,Ver el calendario de servicio completo
home.quick_title,Where would you like to start?,¿Por dónde quieres empezar?
home.events_title,Upcoming Area events,Próximos eventos del Área
home.events_sub,"Assemblies, workshops and gatherings open to all of A.A.","Asambleas, talleres y eventos abiertos a todo A.A."
home.events_all,See all events,Ver todos los eventos
home.legacy_title,The Three Legacies,Los Tres Legados
home.legacy_sub,"Recovery, Unity and Service. Area 09 exists for the third one — so that the group has a voice and the message keeps getting through.","Recuperación, Unidad y Servicio. El Área 09 existe para el tercero — para que el grupo tenga voz y el mensaje siga llegando."
stat.districts,Districts,Distritos
stat.spanish,Spanish-speaking districts,Distritos de habla hispana
stat.meetings,Service meetings a month,Reuniones de servicio al mes
stat.counties,Counties served,Condados servidos
meetings.kicker,Area 09 service calendar,Calendario de servicio del Área 09
meetings.title,"Every service meeting,|in one place","Cada reunión de servicio,|en un solo lugar"
