district,display_name,language,type,meeting_pattern,rrule_byday,week_of_month,day_of_week,start_time,end_time,format,location_name,address,city,zoom_id,zoom_passcode,zoom_url,website,email,covers_cities,covers_districts,notes
1 & 3,District 1 & 3,English,District,2nd Thursday,2TH,2,Thursday,18:00,19:00,Hybrid,,2515 Valley Drive,Hermosa Beach,884 2975 1341,Panel76,https://zoom.us/j/88429751341,https://mscadistrict1.org/,d01dcmc@msca09aa.org,Gardena; Hermosa Beach; Lawndale; Manhattan Beach; Palos Verdes Estates; Rancho Palos Verdes; Redondo Beach; Rolling Hills; Rolling Hills Estates; Torrance; Carson; Dominguez; Harbor City; Lomita; San Pedro; Wilmington,,The 2026 grid flyer shows 7:00 PM; the district detail box shows 6:00 PM. 6:00 PM is used here.
2,District 2,English,District,4th Wednesday,4WE,4,Wednesday,19:00,20:00,In person,Imperial Alano Club,8021 Rosecrans,Paramount,,,,,d02dcmc@msca09aa.org,Artesia; Bellflower; Cerritos; Compton; Hawaiian Gardens; Lakewood (north of Carson); Long Beach (north of Carson); Norwalk; Paramount,,
4,District 4,English,District,1st Wednesday,1WE,1,Wednesday,19:00,20:00,Hybrid,Long Beach City College,,Long Beach,996 5396 0080,673617,https://zoom.us/j/99653960080,https://longbeachaa.org/,d04dcmc@msca09aa.org,Avalon; Belmont Shore; Long Beach; Los Alamitos; Naples; Rossmoor,,
5,District 5,English,District,2nd Monday,2MO,2,Monday,19:00,20:00,Hybrid,,19211 Dodge Ave,Santa Ana,897 037 1755,06101935,https://zoom.us/j/8970371755,https://district5msca09.com/,d05dcmc@msca09aa.org,Cowan Heights; Lemon Heights; Orange; Orange Park; Santa Ana; Tustin; Villa Park,,
6,District 6,English,District,1st Tuesday,1TU,1,Tuesday,19:00,20:00,Hybrid,,6652 Heil Ave,Huntington Beach,899 2638 0668,Big6,https://zoom.us/j/89926380668,https://district6area09.org/,d06dcmc@msca09aa.org,Balboa; Corona Del Mar; Fountain Valley; Huntington Beach; Newport Beach; Seal Beach; Sunset Beach,,
7,District 7,English,District,2nd Monday,2MO,2,Monday,18:30,19:30,In person,,9845 Belfast Dr.,Garden Grove,,,,,d07dcmc@msca09aa.org,Garden Grove; Midway City; Stanton; Westminster,,
8,District 8,English,District,3rd Tuesday,3TU,3,Tuesday,19:00,20:00,Hybrid,,6160 Riverside Dr.,Riverside,909 951 1212,(no passcode),https://zoom.us/j/9099511212,,d08dcmc@msca09aa.org,Norco; Corona; Mira Loma; Rubidoux; Riverside; Mentone; Redlands; Moreno Valley; Yucaipa; Calimesa; Big Bear; Bloomington; Blue Jay; Colton; Crestline; Fontana; Grand Terrace; Highland; Lake Arrowhead; Loma Linda; Rialto; Running Springs; San Bernardino,,
9,District 9,English,District,3rd Sunday,3SU,3,Sunday,15:00,17:00,Hybrid,,"35325 Date Palm Drive, #107",Cathedral City,928 8170 4093,642408,https://zoom.us/j/92881704093,https://www.district9gs.com/,d09dcmc@msca09aa.org,Bermuda Dunes; Blythe; Cathedral City; Coachella; Desert Center; Desert Hot Springs; Eagle Mountain; Indian Wells; Indio; La Quinta; North Palm Springs; Palm Desert; Palm Springs; Rancho Mirage; Whitewater,,
10,District 10,English,District,1st Wednesday,1WE,1,Wednesday,19:30,20:30,Hybrid,,,Fullerton,844 6704 7381,001343,https://zoom.us/j/84467047381,,d10dcmc@msca09aa.org,"Anaheim (south of 91, west of 55); Buena Park; Cypress; Fullerton; La Palma",,
12,District 12,English,District,1st Thursday,1TH,1,Thursday,19:15,20:15,In person,,30071 Ivy Glenn Dr.,Laguna Niguel,,,,https://www.mscadistrict12.org/,d12dcmc@msca09aa.org,Aliso Viejo; Capistrano Beach; Dana Point; Laguna Beach; Laguna Hills; Laguna Woods; Laguna Niguel; Lake Forest; Mission Viejo; Modjeska Canyon; Rancho Santa Margarita; San Clemente; San Juan Capistrano; Silverado Canyon; South Laguna; Coto de Caza; Ladera Ranch,,
