collection,category,title,meeting_type,date,year,language,format,size_kb,source,publish,drive_path,url
Current,Minutes,Aug 2018 ASC Minutes,ASC,2018-08-01,2018,English,PDF,196,MSCA09 website,yes,docs/minutes/2018/aug-2018-asc-minutes-en.pdf,https://drive.google.com/file/d/15H6o5iD4cnlU4eWTvfaAmX6Wkk69Giyr/view
Current,Minutes,Aug 2018 ASC Minutes,ASC,2018-08-01,2018,Spanish,PDF,204,MSCA09 website,yes,docs/minutes/2018/aug-2018-asc-minutes-es.pdf,https://drive.google.com/file/d/1ZlGSplihAtGkP1yA8zHl9BJsRndmrtwd/view
Current,Minutes,Dec 2018 ASC Minutes,ASC,2018-12-01,2018,English,PDF,218,MSCA09 website,yes,docs/minutes/2018/dec-2018-asc-minutes-en.pdf,https://drive.google.com/file/d/1JfV7sskbXe67QKP96Z7LPL6UlmB1B3Z3/view
Current,Minutes,Dec 2018 ASC Minutes,ASC,2018-12-01,2018,Spanish,PDF,265,MSCA09 website,yes,docs/minutes/2018/dec-2018-asc-minutes-es.pdf,https://drive.google.com/file/d/1nYdwYrHbDNcENrnnL68sZ5Utyyu2T8CL/view
Current,Minutes,Feb 2018 ASC Minutes,ASC,2018-02-01,2018,English,PDF,320,MSCA09 website,yes,docs/minutes/2018/feb-2018-asc-minutes-en.pdf,https://drive.google.com/file/d/1vWBg1iOdgKUqWs7WphYHf2DN03-EJ5pq/view
Current,Minutes,Feb 2018 ASC Minutes,ASC,2018-02-01,2018,Spanish,PDF,139,MSCA09 website,yes,docs/minutes/2018/feb-2018-asc-minutes-es.pdf,https://drive.google.com/file/d/1670UbELbbuv0Y8vvof8EK0inOMH33e_k/view
Current,Minutes,Jan 2018 ASA Minutes,ASA,2018-01-01,2018,English,PDF,133,MSCA09 website,yes,docs/minutes/2018/jan-2018-asa-minutes-en.pdf,https://drive.google.com/file/d/1Tfp7sTGapOOdzXFMO-X426pCMQU2O6Wj/view
Current,Minutes,Jan 2018 ASA Minutes,ASA,2018-01-01,2018,Spanish,PDF,116,MSCA09 website,yes,docs/minutes/2018/jan-2018-asa-minutes-es.pdf,https://drive.google.com/file/d/1c3KNiaMXcZ112wSEfF4d-49B3J6m4XgE/view
Current,Minutes,Jun 2018 ASC Minutes,ASC,2018-06-01,2018,English,PDF,185,MSCA09 website,yes,docs/minutes/2018/jun-2018-asc-minutes-en.pdf,https://drive.google.com/file/d/1_6ijDDeqm5Dc3scna1gXCwIeoAt-7wEp/view
Current,Minutes,Jun 2018 ASC Minutes,ASC,2018-06-01,2018,Spanish,PDF,190,MSCA09 website,yes,docs/minutes/2018/jun-2018-asc-minutes-es.pdf,https://drive.google.com/file/d/1R3o2Jr5Fnxr1jit8vh71tLn9ZFvF397L/view
