slug,start,end,all_day,title,title_es,kind,language,venue,address,city,region,postal,cost,flyer_paths,flyers,description,website,contact_email,thumbs
january-area-service-assembly,2026-01-11 08:30:00,2026-01-11 15:00:00,,January Area Service Assembly,,Assembly,English,1305 E Pacific Coast Highway,1305 E Pacific Coast Highway,Long Beach,CA,90806,,docs/events/january-area-service-assembly-1.jpg; docs/events/january-area-service-assembly-2.jpg,https://lh3.googleusercontent.com/d/1EGVyk9Ns_hlDaTSGmxQqHymg8wVsWbY5; https://lh3.googleusercontent.com/d/11_2JeoLA8qj_3Hr6BRbGzsVU0h30k8fj,,,,https://lh3.googleusercontent.com/d/1yrJMLyuEHtuybta73sLKlY-idkLGhWjh; https://lh3.googleusercontent.com/d/1HAM4RXpzwO7It5-ehE3IDfHkmdkOmU3Z
area-service-committee-asc-1,2026-02-08 09:00:00,2026-02-08 15:00:00,,Area Service Committee (ASC-1),,Area Committee,Spanish,Jurupa Community Center,4810 Pedley Road,Jurupa Valley,CA,92509,,docs/events/area-service-committee-asc-1-1.jpg; docs/events/area-service-committee-asc-1-2.jpg,https://lh3.googleusercontent.com/d/1ugVDn5RyagTswlsfmYei2HMoheDrkfHo; https://lh3.googleusercontent.com/d/1UcfWskP7MnXBvaHB_tTUwg5YIdeyzfxz,"Agenda: English 

 Agenda: español 

 https://us06web.zoom.us/j/89661666203#success 

 Meeting ID: 896 6166 6203

 Password: Panel76

 4810 Pedley Road Jurupa Valley, CA 92509",https://us06web.zoom.us/j/89661666203#success,,https://lh3.googleusercontent.com/d/1EpYQiRWcQQjtti-94EHFF4RGaVuaqoP9; https://lh3.googleusercontent.com/d/1I5AEmdfufDj4hN1fQ_sEt9rZMWL3qcp0
monthly-service-study-and-sharing-session,2026-02-19 18:00:00,2026-02-19 19:30:00,,Monthly Service Study and Sharing Session,,Event,English,,,,,,,docs/events/monthly-service-study-and-sharing-session-1.jpg,https://lh3.googleusercontent.com/d/1mMWbh3I9VTGtKl2gptJgkyCu77ryLH4k,"https://us06web.zoom.us/j/85989557002 

 Meeting ID: 859 8955 7002

 Passcode: Panel76",,,https://lh3.googleusercontent.com/d/1iLY54BsinP1_DPeqO99fKm3fY2Q6un6u
aa-s-12-concepts-for-world-service,2026-02-20 10:00:00,2026-02-20 11:00:00,,AA’s 12 Concepts For World Service,,Event,English,,,,,,,docs/events/aa-s-12-concepts-for-world-service-1.jpg; docs/events/aa-s-12-concepts-for-world-service-2.jpg,https://lh3.googleusercontent.com/d/1ZR2pXeAuHrnzaKmMtleNnydltC-SH4ag; https://lh3.googleusercontent.com/d/1tR-5CuJ99rRLOyp4JdsDqBnUfKdD9SXz,"AA’s 12 Concepts For World Service

 Zoom ID: 826 943 0797

PW: 124145",,,https://lh3.googleusercontent.com/d/13b3zpbQHE6F7eQVfViZx_AhZRGg0mX19; https://lh3.googleusercontent.com/d/1jxu0xL__aY8-YPyK7o3WvNk-iMFqdF-3
hispanic-intradistrict-meeting,2026-02-22 00:00:00,2026-02-22 23:59:59,yes,Hispanic Intradistrict Meeting,,Event,Spanish,,,,,,,,,,,,
gsr-school-with-district-9,2026-02-22 00:00:00,2026-02-22 23:59:59,yes,GSR School with District 9,,Service School,English,,,,,,,,,,,,
prassa-in-hawaii,2026-02-27 00:00:00,2026-03-01 23:59:59,yes,PRASSA in Hawaii,,Event,English,Hilton Hawaiian Village,"2005 Kālia Rd,",Honolulu,HI,96815,,docs/events/prassa-in-hawaii-1.jpg,https://lh3.googleusercontent.com/d/1TGuAkWeFWDLvHLhsrQnWjqf1QJyun8n5,https://praasa.org,www.prassa.org,,https://lh3.googleusercontent.com/d/1IaTpsQtcSusEohkkb3k4K-7ghJx4Bnhc
cupids-reds-flags,2026-02-28 16:30:00,2026-02-28 17:30:00,,Cupids Reds Flags,,Event,English,5969 Brockton Ave,5969 Brockton Ave,Riverside,CA,92506,,docs/events/cupids-reds-flags-1.jpg,https://lh3.googleusercontent.com/d/1JdpLEbGxgw-W8i8TGWM0VeKHzRVNdiJ_,,,,https://lh3.googleusercontent.com/d/1-KMURC9mg--oIydd4bdH10j27mMR_U-N
area-service-committee-asc-2,2026-03-08 09:00:00,2026-03-08 15:00:00,,Area Service Committee (ASC-2),,Area Committee,English,Long Beach Community College,4901 East Carson Street,Long Beach,CA,90808,,docs/events/area-service-committee-asc-2-1.jpg; docs/events/area-service-committee-asc-2-2.jpg; docs/events/area-service-committee-asc-2-3.jpg,https://lh3.googleusercontent.com/d/1--heYfLIw9dp-OiS81S_KXN3gQUDBMvx; https://lh3.googleusercontent.com/d/1-6rQwlgguzZngLdAoM4sxbNvKkI7xVQd; https://lh3.googleusercontent.com/d/1tNMNbFCSsXGcNrQG7HGFV19BaRv9TkGV,"https://us06web.zoom.us/j/89661666203#success 

 Meeting ID:

 896 6166 6203

 Password: Panel76",,,https://lh3.googleusercontent.com/d/1iWvmyMPcbNpmhy1wHDOqfCG9ydtqKQs8; https://lh3.googleusercontent.com/d/1wxMUOndAlvdoN6CciMX_nt7pRNeQfYGL; https://lh3.googleusercontent.com/d/1Re2XvLenDSB_XsZNrI1ZEJgaTTzRCAjR
acypaa-53,2026-03-19 00:00:00,2026-03-22 23:59:59,yes,ACYPAA 53,,YPAA,English,Sheraton Gateway Los Angeles Hotel,6101 W Century Blvd,Los Angeles,,90045,,docs/events/acypaa-53-1.jpg; docs/events/acypaa-53-2.jpg; docs/events/acypaa-53-3.jpg,https://lh3.googleusercontent.com/d/1Rsup8VTCdlyLmcwSFalRKq7Q8daJDfbJ; https://lh3.googleusercontent.com/d/1Vr0gTChx6kf5APApymLPyCuQhMKYDPt0; https://lh3.googleusercontent.com/d/1mN1qTuXj1Bd2TfOaAVsc--ODOXZQLHCW,,,,https://lh3.googleusercontent.com/d/12Mz4Y3TZRha13nmlnnQd4hNt_MmBCxrx; https://lh3.googleusercontent.com/d/1h8hOL5ZXQzFeFk_ot5a84V2VT3lzCXdx; https://lh3.googleusercontent.com/d/1rWo3G0pth0hwEbsWusRB6Wqu8tiRo9PE
